X,Y,Z
0.390330,-0.011293,0.701792
0.390425,-0.010067,0.702072
0.390517,-0.008842,0.702294
0.390603,-0.007618,0.702457
0.390684,-0.006394,0.702561
0.390760,-0.005172,0.702606
0.390834,-0.003951,0.702594
0.390907,-0.002729,0.702526
0.390980,-0.001508,0.702403
0.391053,-0.000288,0.702225
0.391127,0.000932,0.701994
0.391202,0.002151,0.701712
0.391277,0.003368,0.701378
0.391354,0.004582,0.700995
0.391431,0.005794,0.700563
0.391509,0.007001,0.700084
0.391588,0.008204,0.699560
0.391667,0.009402,0.698990
0.391747,0.010593,0.698378
0.391827,0.011778,0.697724
0.391908,0.012956,0.697029
0.391988,0.014125,0.696295
0.392068,0.015285,0.695524
0.392148,0.016435,0.694716
0.392229,0.017576,0.693874
0.392310,0.018708,0.693000
0.392391,0.019830,0.692094
0.392474,0.020942,0.691160
0.392558,0.022043,0.690198
0.392643,0.023132,0.689211
0.392729,0.024210,0.688201
0.392816,0.025275,0.687168
0.392905,0.026328,0.686114
0.392994,0.027367,0.685041
0.393086,0.028393,0.683951
0.393182,0.029405,0.682847
0.393284,0.030404,0.681730
0.393391,0.031389,0.680604
0.393507,0.032358,0.679469
0.393631,0.033311,0.678329
0.393764,0.034248,0.677183
0.393908,0.035167,0.676035
0.394063,0.036068,0.674885
0.394228,0.036950,0.673735
0.394404,0.037813,0.672585
0.394590,0.038657,0.671438
0.394787,0.039480,0.670292
0.394994,0.040283,0.669151
0.395211,0.041066,0.668014
0.395437,0.041828,0.666882
0.395672,0.042567,0.665756
0.395918,0.043284,0.664638
0.396174,0.043978,0.663528
0.396440,0.044648,0.662426
0.396717,0.045294,0.661335
0.397004,0.045914,0.660255
0.397299,0.046507,0.659186
0.397603,0.047070,0.658130
0.397913,0.047602,0.657086
0.398230,0.048104,0.656056
0.398553,0.048575,0.655040
0.398881,0.049015,0.654038
0.399213,0.049425,0.653051
0.399548,0.049806,0.652078
0.399885,0.050156,0.651122
0.400224,0.050475,0.650182
0.400565,0.050765,0.649259
0.400907,0.051023,0.648355
0.401250,0.051252,0.647469
0.401595,0.051450,0.646603
0.401940,0.051619,0.645757
0.402285,0.051759,0.644931
0.402630,0.051871,0.644126
0.402975,0.051955,0.643341
0.403319,0.052012,0.642578
0.403661,0.052042,0.641836
0.404001,0.052046,0.641115
0.404340,0.052024,0.640416
0.404676,0.051977,0.639738
0.405009,0.051903,0.639082
0.405339,0.051803,0.638448
0.405666,0.051678,0.637835
0.405988,0.051527,0.637243
0.406305,0.051351,0.636672
0.406616,0.051152,0.636121
0.406922,0.050930,0.635592
0.407222,0.050686,0.635083
0.407515,0.050420,0.634594
0.407801,0.050134,0.634125
0.408081,0.049828,0.633676
0.408353,0.049501,0.633247
0.408618,0.049155,0.632838
0.408875,0.048789,0.632447
0.409125,0.048404,0.632074
0.409366,0.048001,0.631720
0.409599,0.047578,0.631384
0.409823,0.047136,0.631065
0.410039,0.046676,0.630763
0.410246,0.046198,0.630477
0.410444,0.045702,0.630208
0.410634,0.045189,0.629954
0.410815,0.044659,0.629716
0.410987,0.044111,0.629492
0.411150,0.043547,0.629283
0.411302,0.042966,0.629088
0.411444,0.042369,0.628906
0.411575,0.041755,0.628738
0.411694,0.041124,0.628582
0.411801,0.040479,0.628439
0.411895,0.039817,0.628308
0.411976,0.039140,0.628189
0.412044,0.038449,0.628081
0.412098,0.037743,0.627983
0.412138,0.037022,0.627896
0.412163,0.036288,0.627819
0.412173,0.035541,0.627752
0.412167,0.034780,0.627695
0.412146,0.034007,0.627646
0.412109,0.033222,0.627607
0.412056,0.032425,0.627576
0.411986,0.031617,0.627553
0.411900,0.030799,0.627538
0.411796,0.029970,0.627531
0.411675,0.029132,0.627531
0.411537,0.028285,0.627539
0.411381,0.027430,0.627554
0.411209,0.026567,0.627576
0.411019,0.025697,0.627604
0.410813,0.024820,0.627640
0.410590,0.023937,0.627681
0.410350,0.023049,0.627730
0.410094,0.022157,0.627784
0.409822,0.021261,0.627845
0.409534,0.020362,0.627911
0.409231,0.019461,0.627984
0.408913,0.018558,0.628062
0.408581,0.017655,0.628146
0.408235,0.016753,0.628236
0.407876,0.015851,0.628331
0.407503,0.014951,0.628432
0.407116,0.014054,0.628538
0.406718,0.013160,0.628649
0.406306,0.012269,0.628766
0.405883,0.011383,0.628888
0.405448,0.010503,0.629014
0.405002,0.009628,0.629146
0.404544,0.008760,0.629283
0.404076,0.007900,0.629425
0.403597,0.007046,0.629572
0.403109,0.006201,0.629723
0.402610,0.005365,0.629880
0.402103,0.004538,0.630041
0.401586,0.003720,0.630207
0.401061,0.002913,0.630378
0.400528,0.002117,0.630554
0.399986,0.001332,0.630734
0.399436,0.000559,0.630919
0.398879,-0.000201,0.631108
0.398313,-0.000947,0.631301
0.397740,-0.001680,0.631498
0.397160,-0.002399,0.631699
0.396572,-0.003102,0.631904
0.395978,-0.003791,0.632112
0.395378,-0.004464,0.632324
0.394772,-0.005120,0.632539
0.394161,-0.005759,0.632758
0.393546,-0.006380,0.632980
0.392927,-0.006980,0.633206
0.392306,-0.007561,0.633436
0.391684,-0.008120,0.633669
0.391060,-0.008658,0.633907
0.390436,-0.009175,0.634148
0.389813,-0.009670,0.634394
0.389191,-0.010143,0.634643
0.388570,-0.010594,0.634898
0.387952,-0.011024,0.635157
0.387337,-0.011433,0.635421
0.386726,-0.011820,0.635691
0.386120,-0.012185,0.635967
0.385518,-0.012530,0.636248
0.384922,-0.012853,0.636534
0.384333,-0.013156,0.636826
