X,Y,Z
0.307921,-0.000484,0.475323
0.309300,-0.001524,0.474239
0.311659,-0.003265,0.473835
0.314857,-0.005445,0.474065
0.318765,-0.007912,0.474901
0.323288,-0.010508,0.476305
0.328342,-0.013142,0.478244
0.333860,-0.015721,0.480676
0.339784,-0.018191,0.483561
0.346066,-0.020500,0.486853
0.352663,-0.022617,0.490505
0.359538,-0.024519,0.494469
0.366660,-0.026192,0.498698
0.373999,-0.027630,0.503143
0.381540,-0.028837,0.507762
0.389268,-0.029779,0.512506
0.397146,-0.030421,0.517318
0.405131,-0.030787,0.522155
0.413199,-0.030901,0.526976
0.421329,-0.030781,0.531742
0.429493,-0.030446,0.536415
0.437667,-0.029902,0.540957
0.445823,-0.029141,0.545334
0.453934,-0.028141,0.549507
0.461973,-0.026870,0.553443
0.470104,-0.025135,0.557111
0.478159,-0.022856,0.560393
0.486092,-0.020100,0.563264
0.493842,-0.016882,0.565688
0.501224,-0.013519,0.567670
0.508286,-0.010233,0.569336
0.515206,-0.006763,0.570719
0.521798,-0.003258,0.571726
0.528207,0.000374,0.572452
0.534283,0.004003,0.572788
0.540127,0.007662,0.572872
0.545626,0.011309,0.572566
0.550862,0.014958,0.572021
0.555861,0.018978,0.571063
0.560475,0.022858,0.569782
0.564741,0.026629,0.568227
0.568678,0.030271,0.566441
0.572308,0.033815,0.564434
0.575677,0.037477,0.562206
0.578754,0.041194,0.559713
0.581517,0.044739,0.557060
0.583983,0.048222,0.554230
0.586135,0.051513,0.551272
0.587989,0.054670,0.548189
0.589554,0.057698,0.545002
0.590840,0.060677,0.541701
0.591845,0.063596,0.538298
0.592575,0.066456,0.534810
0.593040,0.069250,0.531257
0.593252,0.071974,0.527657
0.593221,0.074626,0.524029
0.592971,0.077212,0.520388
0.592504,0.079722,0.516747
0.591832,0.082154,0.513121
0.590985,0.084516,0.509521
0.589956,0.086790,0.505959
0.588753,0.088971,0.502448
0.587404,0.091065,0.498997
0.585911,0.093065,0.495619
0.584293,0.094972,0.492319
0.582562,0.096787,0.489106
0.580730,0.098505,0.485988
0.578825,0.100136,0.482967
0.576850,0.101672,0.480048
0.574811,0.103105,0.477239
0.572732,0.104445,0.474538
0.570617,0.105686,0.471951
0.568467,0.106822,0.469485
0.566303,0.107863,0.467139
0.564133,0.108809,0.464915
0.561964,0.109661,0.462816
0.559800,0.110421,0.460843
0.557653,0.111092,0.458999
0.555540,0.111683,0.457280
0.553461,0.112193,0.455689
0.551431,0.112628,0.454223
0.549457,0.112992,0.452880
0.547543,0.113286,0.451659
0.545696,0.113514,0.450560
0.543918,0.113677,0.449579
0.542214,0.113779,0.448718
0.540584,0.113819,0.447976
0.539034,0.113802,0.447352
0.537577,0.113735,0.446840
0.536200,0.113612,0.446447
0.534919,0.113444,0.446164
0.533728,0.113227,0.445996
0.532635,0.112968,0.445939
0.531647,0.112673,0.445985
0.530748,0.112333,0.446141
0.529939,0.111952,0.446409
0.529228,0.111541,0.446782
0.528615,0.111108,0.447257
0.528092,0.110649,0.447837
0.527658,0.110166,0.448521
0.527311,0.109659,0.449309
0.527058,0.109132,0.450197
0.526897,0.108584,0.451184
0.526828,0.108016,0.452266
0.526842,0.107423,0.453448
0.526936,0.106806,0.454728
0.527113,0.106166,0.456103
0.527377,0.105507,0.457568
0.527705,0.104819,0.459131
0.528104,0.104107,0.460787
0.528571,0.103370,0.462534
0.529111,0.102614,0.464366
0.529694,0.101824,0.466291
0.530324,0.101007,0.468303
0.530990,0.100157,0.470404
0.531706,0.099286,0.472583
0.532458,0.098388,0.474840
0.533231,0.097457,0.477178
0.534019,0.096493,0.479597
0.534829,0.095502,0.482090
0.535643,0.094474,0.484663
0.536463,0.093416,0.487313
0.537288,0.092327,0.490040
0.538126,0.091213,0.492837
0.538969,0.090071,0.495704
0.539814,0.088902,0.498639
0.540663,0.087708,0.501639
0.541507,0.086486,0.504702
0.542353,0.085242,0.507821
0.543187,0.083970,0.510998
0.543997,0.082668,0.514232
0.544791,0.081339,0.517522
0.545568,0.079985,0.520863
0.546317,0.078604,0.524256
0.547056,0.077203,0.527694
0.547763,0.075776,0.531178
0.548443,0.074326,0.534706
0.549082,0.072849,0.538278
0.549687,0.071350,0.541892
0.550258,0.069830,0.545546
0.550794,0.068290,0.549239
0.551314,0.066738,0.552964
0.551793,0.065165,0.556722
0.552229,0.063574,0.560511
0.552628,0.061967,0.564330
0.552987,0.060345,0.568177
0.553318,0.058715,0.572048
0.553600,0.057070,0.575942
0.553853,0.055418,0.579856
0.554057,0.053754,0.583788
0.554220,0.052081,0.587737
0.554341,0.050401,0.591701
0.554417,0.048713,0.595678
0.554459,0.047023,0.599665
0.554447,0.045324,0.603660
0.554385,0.043621,0.607663
0.554281,0.041916,0.611673
0.554139,0.040212,0.615690
0.553959,0.038509,0.619709
0.553742,0.036808,0.623729
0.553487,0.035109,0.627747
0.553192,0.033415,0.631759
0.552856,0.031725,0.635763
0.552477,0.030039,0.639757
0.552055,0.028359,0.643737
0.551588,0.026684,0.647702
0.551076,0.025016,0.651648
0.550520,0.023356,0.655574
0.549918,0.021703,0.659478
0.549271,0.020061,0.663358
0.548580,0.018429,0.667213
0.547846,0.016809,0.671040
0.547068,0.015201,0.674840
0.546249,0.013608,0.678610
0.545389,0.012030,0.682350
0.544490,0.010467,0.686059
0.543553,0.008923,0.689736
0.542579,0.007396,0.693380
0.541570,0.005890,0.696992
0.540528,0.004404,0.700569
0.539454,0.002940,0.704113
0.538351,0.001499,0.707623
0.537219,0.000082,0.711098
0.536061,-0.001311,0.714538
