X,Y,Z
0.309430,0.064125,0.775274
0.310375,0.063975,0.774673
0.311360,0.063801,0.774019
0.312385,0.063604,0.773311
0.313447,0.063386,0.772550
0.314545,0.063151,0.771738
0.315678,0.062902,0.770877
0.316844,0.062643,0.769966
0.318040,0.062374,0.769008
0.319263,0.062097,0.768001
0.320512,0.061814,0.766947
0.321783,0.061524,0.765845
0.323074,0.061230,0.764696
0.324384,0.060933,0.763501
0.325710,0.060633,0.762259
0.327049,0.060334,0.760974
0.328401,0.060035,0.759645
0.329764,0.059741,0.758274
0.331136,0.059453,0.756865
0.332517,0.059174,0.755418
0.333905,0.058906,0.753937
0.335300,0.058650,0.752422
0.336700,0.058408,0.750876
0.338106,0.058180,0.749300
0.339516,0.057969,0.747696
0.340929,0.057774,0.746066
0.342345,0.057598,0.744412
0.343763,0.057440,0.742735
0.345183,0.057303,0.741038
0.346603,0.057187,0.739321
0.348023,0.057094,0.737588
0.349441,0.057026,0.735841
0.350857,0.056985,0.734082
0.352271,0.056973,0.732315
0.353682,0.056992,0.730541
0.355090,0.057042,0.728762
0.356495,0.057123,0.726981
0.357899,0.057237,0.725200
0.359300,0.057384,0.723421
0.360699,0.057565,0.721645
0.362096,0.057781,0.719876
0.363492,0.058032,0.718114
0.364887,0.058319,0.716361
0.366282,0.058643,0.714622
0.367683,0.059008,0.712899
0.369092,0.059414,0.711195
0.370509,0.059864,0.709513
0.371937,0.060358,0.707853
0.373374,0.060897,0.706216
0.374820,0.061482,0.704604
0.376274,0.062114,0.703017
0.377737,0.062793,0.701456
0.379206,0.063519,0.699921
0.380681,0.064293,0.698413
0.382160,0.065115,0.696931
0.383641,0.065983,0.695475
0.385124,0.066899,0.694045
0.386608,0.067865,0.692644
0.388093,0.068882,0.691273
0.389578,0.069951,0.689934
0.391062,0.071073,0.688627
0.392547,0.072249,0.687355
0.394024,0.073475,0.686113
0.395473,0.074752,0.684893
0.396882,0.076074,0.683687
0.398242,0.077440,0.682493
0.399550,0.078847,0.681305
0.400802,0.080292,0.680123
0.401996,0.081772,0.678944
0.403133,0.083285,0.677767
0.404211,0.084828,0.676592
0.405233,0.086400,0.675418
0.406202,0.088001,0.674250
0.407118,0.089632,0.673088
0.407974,0.091295,0.671932
0.408761,0.092997,0.670782
0.409475,0.094741,0.669640
0.410117,0.096529,0.668506
0.410687,0.098356,0.667380
0.411186,0.100224,0.666263
0.411613,0.102135,0.665157
0.411968,0.104087,0.664061
0.412253,0.106070,0.662972
0.412460,0.108065,0.661879
0.412589,0.110058,0.660777
