X,Y,Z
0.532692,0.046267,0.733176
0.532216,0.046048,0.734462
0.531742,0.045831,0.735740
0.531271,0.045616,0.737009
0.530803,0.045404,0.738270
0.530338,0.045193,0.739522
0.529875,0.044985,0.740764
0.529417,0.044779,0.741996
0.528961,0.044576,0.743219
0.528509,0.044375,0.744431
0.528062,0.044176,0.745632
0.527617,0.043980,0.746822
0.527177,0.043787,0.748001
0.526742,0.043596,0.749168
0.526310,0.043408,0.750324
0.525883,0.043223,0.751467
0.525461,0.043041,0.752598
0.525044,0.042862,0.753716
0.524631,0.042685,0.754821
0.524224,0.042512,0.755912
0.523822,0.042341,0.756990
0.523426,0.042174,0.758055
0.523035,0.042009,0.759105
0.522650,0.041848,0.760141
0.522270,0.041690,0.761163
0.521897,0.041535,0.762169
0.521530,0.041384,0.763161
0.521169,0.041235,0.764138
0.520815,0.041090,0.765100
0.520467,0.040949,0.766046
0.520126,0.040810,0.766976
0.519792,0.040675,0.767890
0.519465,0.040544,0.768789
0.519145,0.040416,0.769671
0.518832,0.040291,0.770537
0.518527,0.040170,0.771386
0.518229,0.040052,0.772219
0.517938,0.039937,0.773034
0.517656,0.039827,0.773833
0.517381,0.039719,0.774615
0.517114,0.039615,0.775379
0.516855,0.039515,0.776127
0.516604,0.039418,0.776856
0.516361,0.039325,0.777569
0.516127,0.039235,0.778263
0.515901,0.039149,0.778940
0.515684,0.039066,0.779599
0.515475,0.038986,0.780240
0.515274,0.038911,0.780864
0.515083,0.038838,0.781469
0.514900,0.038769,0.782056
0.514726,0.038704,0.782625
0.514560,0.038642,0.783176
0.514404,0.038583,0.783709
0.514257,0.038528,0.784223
0.514118,0.038476,0.784719
0.513989,0.038427,0.785197
0.513869,0.038382,0.785656
0.513758,0.038340,0.786097
0.513656,0.038301,0.786520
0.513563,0.038266,0.786924
0.513480,0.038234,0.787310
0.513405,0.038205,0.787678
0.513340,0.038179,0.788027
0.513284,0.038156,0.788358
0.513237,0.038136,0.788670
0.513200,0.038120,0.788964
0.513171,0.038106,0.789240
0.513152,0.038096,0.789498
0.513141,0.038088,0.789737
0.513140,0.038083,0.789959
0.513148,0.038081,0.790162
0.513165,0.038082,0.790347
0.513191,0.038086,0.790514
0.513226,0.038092,0.790663
0.513269,0.038101,0.790795
0.513322,0.038113,0.790908
0.513383,0.038127,0.791004
0.513453,0.038144,0.791082
0.513532,0.038163,0.791143
0.513619,0.038185,0.791186
0.513715,0.038209,0.791212
0.513819,0.038236,0.791221
0.513931,0.038265,0.791213
0.514052,0.038296,0.791187
0.514181,0.038329,0.791145
0.514318,0.038365,0.791086
0.514463,0.038402,0.791010
0.514616,0.038442,0.790917
0.514776,0.038484,0.790809
0.514944,0.038527,0.790684
0.515120,0.038573,0.790542
0.515303,0.038620,0.790385
0.515494,0.038669,0.790212
0.515691,0.038720,0.790023
0.515896,0.038773,0.789819
0.516108,0.038827,0.789599
0.516326,0.038883,0.789364
0.516552,0.038940,0.789114
0.516783,0.038999,0.788849
0.517021,0.039059,0.788570
0.517266,0.039121,0.788275
0.517516,0.039184,0.787967
0.517773,0.039248,0.787644
0.518035,0.039314,0.787307
0.518303,0.039380,0.786956
0.518577,0.039448,0.786592
0.518856,0.039517,0.786215
0.519140,0.039587,0.785824
0.519429,0.039658,0.785420
0.519724,0.039730,0.785003
0.520023,0.039802,0.784573
0.520326,0.039876,0.784132
0.520634,0.039950,0.783678
0.520947,0.040025,0.783212
0.521264,0.040101,0.782734
0.521584,0.040178,0.782244
0.521909,0.040255,0.781744
0.522237,0.040332,0.781232
0.522568,0.040410,0.780709
0.522903,0.040489,0.780176
0.523242,0.040568,0.779632
0.523583,0.040647,0.779078
0.523927,0.040727,0.778514
0.524274,0.040807,0.777940
0.524623,0.040888,0.777357
0.524975,0.040968,0.776764
0.525329,0.041049,0.776163
0.525685,0.041130,0.775552
0.526043,0.041211,0.774933
0.526403,0.041292,0.774306
0.526764,0.041373,0.773671
0.527127,0.041454,0.773028
0.527491,0.041535,0.772378
0.527856,0.041616,0.771720
0.528222,0.041697,0.771055
0.528589,0.041778,0.770383
0.528956,0.041859,0.769705
0.529325,0.041939,0.769020
0.529693,0.042019,0.768330
0.530062,0.042099,0.767633
0.530431,0.042179,0.766931
0.530799,0.042258,0.766224
0.531168,0.042337,0.765512
0.531536,0.042416,0.764795
0.531904,0.042494,0.764073
0.532271,0.042572,0.763347
0.532637,0.042649,0.762617
0.533003,0.042726,0.761884
0.533367,0.042802,0.761147
0.533730,0.042878,0.760406
0.534092,0.042953,0.759663
0.534453,0.043028,0.758917
0.534812,0.043102,0.758168
0.535169,0.043176,0.757418
0.535525,0.043249,0.756665
0.535879,0.043321,0.755910
0.536231,0.043393,0.755154
0.536580,0.043464,0.754397
0.536928,0.043534,0.753639
0.537273,0.043604,0.752880
0.537616,0.043673,0.752121
0.537956,0.043741,0.751361
0.538294,0.043809,0.750601
0.538629,0.043876,0.749842
0.538961,0.043941,0.749083
0.539290,0.044007,0.748325
0.539616,0.044071,0.747567
0.539940,0.044135,0.746811
0.540260,0.044198,0.746057
0.540576,0.044260,0.745304
0.540890,0.044321,0.744553
0.541200,0.044381,0.743804
0.541507,0.044441,0.743057
0.541810,0.044500,0.742313
0.542109,0.044558,0.741572
0.542405,0.044615,0.740833
0.542697,0.044671,0.740098
0.542985,0.044727,0.739367
0.543269,0.044781,0.738639
0.543550,0.044835,0.737915
0.543826,0.044888,0.737195
0.544099,0.044940,0.736479
0.544367,0.044991,0.735767
0.544632,0.045041,0.735061
0.544892,0.045091,0.734359
0.545148,0.045139,0.733662
0.545399,0.045187,0.732971
0.545647,0.045234,0.732285
0.545890,0.045280,0.731605
0.546128,0.045326,0.730930
0.546363,0.045370,0.730261
0.546593,0.045414,0.729599
0.546818,0.045456,0.728943
0.547039,0.045498,0.728293
0.547256,0.045539,0.727650
0.547468,0.045580,0.727014
0.547675,0.045619,0.726385
0.547878,0.045658,0.725763
0.548077,0.045696,0.725148
0.548271,0.045733,0.724541
0.548460,0.045769,0.723941
0.548645,0.045805,0.723349
0.548825,0.045840,0.722765
0.549000,0.045874,0.722189
0.549171,0.045907,0.721621
0.549338,0.045939,0.721061
0.549499,0.045971,0.720510
0.549656,0.046002,0.719967
0.549809,0.046032,0.719433
0.549957,0.046062,0.718907
0.550100,0.046091,0.718391
0.550239,0.046119,0.717883
0.550373,0.046147,0.717384
0.550503,0.046173,0.716895
0.550628,0.046200,0.716415
0.550748,0.046225,0.715944
0.550864,0.046250,0.715482
0.550976,0.046274,0.715030
0.551082,0.046297,0.714588
0.551185,0.046320,0.714155
0.551283,0.046343,0.713732
0.551376,0.046364,0.713318
0.551466,0.046385,0.712915
0.551550,0.046406,0.712521
0.551631,0.046426,0.712138
0.551707,0.046445,0.711764
0.551778,0.046464,0.711401
0.551846,0.046482,0.711048
0.551909,0.046500,0.710704
0.551968,0.046517,0.710372
0.552022,0.046533,0.710049
0.552073,0.046549,0.709736
0.552119,0.046565,0.709434
0.552161,0.046580,0.709143
0.552199,0.046594,0.708861
0.552233,0.046608,0.708590
0.552263,0.046622,0.708330
0.552289,0.046635,0.708079
0.552311,0.046648,0.707839
0.552329,0.046660,0.707610
0.552343,0.046671,0.707391
0.552353,0.046683,0.707182
0.552359,0.046693,0.706984
0.552362,0.046704,0.706796
0.552361,0.046714,0.706619
0.552356,0.046723,0.706452
0.552347,0.046732,0.706295
0.552335,0.046741,0.706149
0.552319,0.046750,0.706012
0.552300,0.046757,0.705886
0.552277,0.046765,0.705771
0.552250,0.046772,0.705665
0.552220,0.046779,0.705570
0.552187,0.046785,0.705485
0.552150,0.046791,0.705410
0.552110,0.046797,0.705345
0.552066,0.046802,0.705290
0.552020,0.046807,0.705244
0.551970,0.046812,0.705209
0.551917,0.046816,0.705184
0.551860,0.046820,0.705168
0.551801,0.046824,0.705162
0.551739,0.046827,0.705166
0.551673,0.046830,0.705179
0.551605,0.046833,0.705202
0.551533,0.046835,0.705234
0.551459,0.046837,0.705275
0.551382,0.046839,0.705326
0.551302,0.046840,0.705386
0.551220,0.046841,0.705455
0.551134,0.046842,0.705533
0.551046,0.046843,0.705620
0.550955,0.046843,0.705716
0.550862,0.046843,0.705820
0.550766,0.046842,0.705933
0.550668,0.046841,0.706055
0.550567,0.046840,0.706185
0.550464,0.046839,0.706324
0.550358,0.046837,0.706471
0.550250,0.046835,0.706626
0.550140,0.046833,0.706789
0.550028,0.046830,0.706960
0.549913,0.046828,0.707139
0.549796,0.046824,0.707325
0.549677,0.046821,0.707520
0.549556,0.046817,0.707721
0.549433,0.046813,0.707931
0.549308,0.046809,0.708147
0.549181,0.046804,0.708371
0.549052,0.046799,0.708601
0.548922,0.046794,0.708839
0.548789,0.046789,0.709083
0.548655,0.046783,0.709334
0.548519,0.046777,0.709592
0.548381,0.046770,0.709855
0.548242,0.046764,0.710126
0.548101,0.046757,0.710402
0.547959,0.046749,0.710685
0.547815,0.046742,0.710973
0.547670,0.046734,0.711267
0.547523,0.046725,0.711567
0.547375,0.046717,0.711872
0.547225,0.046708,0.712183
0.547075,0.046699,0.712499
